,Transaction ID,Customer ID,Day,Month,Year,Date,Gender,Age,Age Group,Product Category,Quantity,Price per Unit,Total Amount
147,148,CUST148,Tuesday,5,2023,2023-05-09,Male,18,18 - 24,Clothing,2,30,60
148,149,CUST149,Wednesday,10,2023,2023-10-11,Male,22,18 - 24,Clothing,3,25,75
149,150,CUST150,Friday,1,2023,2023-01-06,Female,58,54 - 65,Electronics,4,30,120
150,151,CUST151,Friday,12,2023,2023-12-15,Male,29,25 - 34,Clothing,1,50,50
151,152,CUST152,Tuesday,2,2023,2023-02-28,Male,43,35 - 44,Electronics,4,500,2000
152,153,CUST153,Saturday,12,2023,2023-12-16,Male,63,54 - 65,Electronics,2,500,1000
153,154,CUST154,Monday,10,2023,2023-10-02,Male,51,45 - 54,Electronics,3,300,900
154,155,CUST155,Wednesday,5,2023,2023-05-17,Male,31,25 - 34,Electronics,4,500,2000
155,156,CUST156,Saturday,11,2023,2023-11-25,Female,43,35 - 44,Clothing,4,25,100
156,157,CUST157,Saturday,6,2023,2023-06-24,Male,62,54 - 65,Electronics,4,500,2000
157,158,CUST158,Monday,2,2023,2023-02-27,Female,44,35 - 44,Electronics,2,300,600
158,159,CUST159,Wednesday,5,2023,2023-05-31,Male,26,25 - 34,Clothing,4,50,200
159,160,CUST160,Friday,8,2023,2023-08-11,Female,43,35 - 44,Clothing,2,50,100
160,161,CUST161,Wednesday,3,2023,2023-03-22,Male,64,54 - 65,Beauty,2,500,1000
161,162,CUST162,Monday,8,2023,2023-08-21,Male,39,35 - 44,Clothing,2,30,60
162,163,CUST163,Monday,1,2023,2023-01-02,Female,64,54 - 65,Clothing,3,50,150
163,164,CUST164,Monday,5,2023,2023-05-15,Female,47,45 - 54,Beauty,3,500,1500
164,165,CUST165,Thursday,9,2023,2023-09-14,Female,60,54 - 65,Clothing,4,300,1200
165,166,CUST166,Sunday,4,2023,2023-04-02,Male,34,25 - 34,Clothing,4,500,2000
166,167,CUST167,Sunday,9,2023,2023-09-17,Female,43,35 - 44,Clothing,3,50,150
167,168,CUST168,Friday,2,2023,2023-02-24,Male,53,45 - 54,Clothing,1,300,300
168,169,CUST169,Friday,11,2023,2023-11-17,Male,18,18 - 24,Beauty,3,500,1500
169,170,CUST170,Friday,6,2023,2023-06-02,Female,25,25 - 34,Clothing,2,25,50
170,171,CUST171,Friday,11,2023,2023-11-24,Female,52,45 - 54,Clothing,3,300,900
171,172,CUST172,Sunday,9,2023,2023-09-17,Male,32,25 - 34,Beauty,2,25,50
172,173,CUST173,Wednesday,11,2023,2023-11-08,Male,64,54 - 65,Electronics,4,30,120
173,174,CUST174,Wednesday,4,2023,2023-04-12,Female,39,35 - 44,Beauty,1,300,300
174,175,CUST175,Monday,3,2023,2023-03-20,Female,31,25 - 34,Electronics,4,25,100
175,176,CUST176,Tuesday,7,2023,2023-07-11,Female,43,35 - 44,Beauty,2,50,100
176,177,CUST177,Friday,3,2023,2023-03-24,Male,45,45 - 54,Beauty,2,50,100
177,178,CUST178,Wednesday,10,2023,2023-10-04,Male,40,35 - 44,Clothing,2,30,60
178,179,CUST179,Friday,9,2023,2023-09-29,Male,31,25 - 34,Electronics,1,300,300
179,180,CUST180,Sunday,1,2023,2023-01-01,Male,41,35 - 44,Clothing,3,300,900
180,181,CUST181,Friday,11,2023,2023-11-03,Male,19,18 - 24,Electronics,4,300,1200
181,182,CUST182,Thursday,6,2023,2023-06-15,Male,62,54 - 65,Beauty,4,30,120
182,183,CUST183,Friday,9,2023,2023-09-08,Female,43,35 - 44,Beauty,3,300,900
183,184,CUST184,Tuesday,1,2023,2023-01-10,Male,31,25 - 34,Electronics,4,50,200
184,185,CUST185,Monday,2,2023,2023-02-27,Male,24,18 - 24,Clothing,1,25,25
185,186,CUST186,Wednesday,7,2023,2023-07-05,Male,20,18 - 24,Clothing,4,50,200
186,187,CUST187,Wednesday,6,2023,2023-06-07,Female,64,54 - 65,Clothing,2,50,100
187,188,CUST188,Wednesday,5,2023,2023-05-03,Male,40,35 - 44,Clothing,3,25,75
188,189,CUST189,Monday,1,2023,2023-01-30,Male,63,54 - 65,Beauty,1,50,50
189,190,CUST190,Thursday,5,2023,2023-05-04,Female,60,54 - 65,Beauty,3,30,90
190,191,CUST191,Wednesday,10,2023,2023-10-18,Male,64,54 - 65,Beauty,1,25,25
191,192,CUST192,Friday,2,2023,2023-02-10,Male,62,54 - 65,Beauty,2,50,100
192,193,CUST193,Monday,2,2023,2023-02-13,Male,35,35 - 44,Beauty,3,500,1500
193,194,CUST194,Wednesday,9,2023,2023-09-06,Male,55,54 - 65,Clothing,4,50,200
194,195,CUST195,Sunday,2,2023,2023-02-05,Male,52,45 - 54,Clothing,1,30,30
195,196,CUST196,Saturday,9,2023,2023-09-30,Female,32,25 - 34,Clothing,3,300,900
196,197,CUST197,Monday,3,2023,2023-03-06,Female,42,35 - 44,Clothing,4,50,200
197,198,CUST198,Tuesday,3,2023,2023-03-07,Female,54,54 - 65,Beauty,3,300,900
198,199,CUST199,Monday,12,2023,2023-12-04,Male,45,45 - 54,Beauty,3,500,1500
199,200,CUST200,Friday,9,2023,2023-09-01,Male,27,25 - 34,Beauty,3,50,150
200,201,CUST201,Monday,10,2023,2023-10-09,Male,56,54 - 65,Electronics,1,25,25
201,202,CUST202,Sunday,3,2023,2023-03-26,Female,34,25 - 34,Clothing,4,300,1200
202,203,CUST203,Tuesday,5,2023,2023-05-16,Male,56,54 - 65,Clothing,2,500,1000
203,204,CUST204,Thursday,9,2023,2023-09-28,Male,39,35 - 44,Beauty,1,25,25
204,205,CUST205,Tuesday,11,2023,2023-11-07,Female,43,35 - 44,Clothing,1,25,25
205,206,CUST206,Saturday,8,2023,2023-08-05,Male,61,54 - 65,Clothing,1,25,25
206,207,CUST207,Wednesday,4,2023,2023-04-19,Female,42,35 - 44,Beauty,2,25,50
207,208,CUST208,Wednesday,10,2023,2023-10-04,Female,34,25 - 34,Electronics,4,50,200
208,209,CUST209,Wednesday,12,2023,2023-12-20,Female,30,25 - 34,Electronics,4,50,200
209,210,CUST210,Thursday,4,2023,2023-04-13,Male,37,35 - 44,Electronics,4,50,200
210,211,CUST211,Monday,1,2024,2024-01-01,Male,42,35 - 44,Beauty,3,500,1500
211,212,CUST212,Friday,6,2023,2023-06-09,Male,21,18 - 24,Clothing,3,500,1500
212,213,CUST213,Monday,7,2023,2023-07-24,Male,27,25 - 34,Beauty,3,500,1500
213,214,CUST214,Sunday,12,2023,2023-12-10,Male,20,18 - 24,Beauty,2,30,60
214,215,CUST215,Wednesday,11,2023,2023-11-29,Male,58,54 - 65,Clothing,3,500,1500
215,216,CUST216,Tuesday,7,2023,2023-07-11,Male,62,54 - 65,Electronics,2,50,100
216,217,CUST217,Sunday,8,2023,2023-08-13,Female,35,35 - 44,Electronics,4,50,200
217,218,CUST218,Friday,9,2023,2023-09-22,Male,64,54 - 65,Beauty,3,30,90
218,219,CUST219,Sunday,8,2023,2023-08-20,Female,53,45 - 54,Electronics,3,30,90
219,220,CUST220,Friday,3,2023,2023-03-03,Male,64,54 - 65,Beauty,1,500,500
220,221,CUST221,Sunday,5,2023,2023-05-07,Male,39,35 - 44,Beauty,2,300,600
221,222,CUST222,Wednesday,4,2023,2023-04-26,Male,51,45 - 54,Clothing,4,30,120
222,223,CUST223,Thursday,2,2023,2023-02-02,Female,64,54 - 65,Clothing,1,25,25
223,224,CUST224,Friday,6,2023,2023-06-23,Female,25,25 - 34,Clothing,1,50,50
224,225,CUST225,Wednesday,1,2023,2023-01-11,Female,57,54 - 65,Beauty,4,25,100
225,226,CUST226,Sunday,10,2023,2023-10-29,Female,61,54 - 65,Clothing,1,50,50
226,227,CUST227,Wednesday,10,2023,2023-10-11,Male,36,35 - 44,Electronics,2,50,100
227,228,CUST228,Friday,4,2023,2023-04-28,Female,59,54 - 65,Electronics,2,30,60
228,229,CUST229,Sunday,10,2023,2023-10-29,Male,58,54 - 65,Beauty,3,30,90
229,230,CUST230,Sunday,4,2023,2023-04-23,Male,54,54 - 65,Beauty,1,25,25
230,231,CUST231,Wednesday,1,2023,2023-01-04,Female,23,18 - 24,Clothing,3,50,150
231,232,CUST232,Monday,2,2023,2023-02-06,Female,43,35 - 44,Beauty,1,25,25
232,233,CUST233,Friday,12,2023,2023-12-29,Female,51,45 - 54,Beauty,2,300,600
233,234,CUST234,Monday,11,2023,2023-11-20,Female,62,54 - 65,Electronics,2,25,50
234,235,CUST235,Tuesday,1,2023,2023-01-31,Female,23,18 - 24,Electronics,2,500,1000
235,236,CUST236,Friday,4,2023,2023-04-28,Female,54,54 - 65,Clothing,1,25,25
236,237,CUST237,Saturday,2,2023,2023-02-04,Female,50,45 - 54,Beauty,2,500,1000
237,238,CUST238,Tuesday,1,2023,2023-01-17,Female,39,35 - 44,Beauty,1,500,500
238,239,CUST239,Monday,6,2023,2023-06-19,Male,38,35 - 44,Electronics,3,500,1500
239,240,CUST240,Monday,2,2023,2023-02-06,Female,23,18 - 24,Beauty,1,300,300
240,241,CUST241,Thursday,9,2023,2023-09-21,Female,23,18 - 24,Electronics,3,25,75
241,242,CUST242,Tuesday,5,2023,2023-05-02,Male,21,18 - 24,Clothing,1,25,25
242,243,CUST243,Tuesday,5,2023,2023-05-23,Female,47,45 - 54,Electronics,3,300,900
243,244,CUST244,Saturday,12,2023,2023-12-09,Male,28,25 - 34,Beauty,2,50,100
244,245,CUST245,Wednesday,9,2023,2023-09-06,Male,47,45 - 54,Clothing,3,30,90
245,246,CUST246,Thursday,4,2023,2023-04-20,Female,48,45 - 54,Electronics,2,25,50
246,247,CUST247,Wednesday,10,2023,2023-10-04,Male,41,35 - 44,Electronics,2,30,60
247,248,CUST248,Thursday,3,2023,2023-03-09,Male,26,25 - 34,Clothing,3,300,900
248,249,CUST249,Friday,10,2023,2023-10-20,Male,20,18 - 24,Clothing,1,50,50
249,250,CUST250,Monday,10,2023,2023-10-23,Male,48,45 - 54,Electronics,1,50,50
250,251,CUST251,Thursday,8,2023,2023-08-31,Female,57,54 - 65,Beauty,4,50,200
251,252,CUST252,Friday,5,2023,2023-05-05,Male,54,54 - 65,Electronics,1,300,300
252,253,CUST253,Thursday,8,2023,2023-08-31,Female,53,45 - 54,Clothing,4,500,2000
253,254,CUST254,Friday,7,2023,2023-07-28,Male,41,35 - 44,Electronics,1,500,500
254,255,CUST255,Saturday,4,2023,2023-04-08,Male,48,45 - 54,Clothing,1,30,30
255,256,CUST256,Saturday,2,2023,2023-02-18,Male,23,18 - 24,Clothing,2,500,1000
256,257,CUST257,Sunday,2,2023,2023-02-19,Male,19,18 - 24,Beauty,4,500,2000
257,258,CUST258,Monday,12,2023,2023-12-04,Female,37,35 - 44,Clothing,1,50,50
258,259,CUST259,Wednesday,8,2023,2023-08-09,Female,45,45 - 54,Clothing,4,50,200
259,260,CUST260,Saturday,7,2023,2023-07-01,Male,28,25 - 34,Beauty,2,30,60
260,261,CUST261,Saturday,8,2023,2023-08-05,Male,21,18 - 24,Clothing,2,25,50
261,262,CUST262,Sunday,7,2023,2023-07-30,Female,32,25 - 34,Beauty,4,30,120
262,263,CUST263,Monday,8,2023,2023-08-28,Male,23,18 - 24,Beauty,2,30,60
263,264,CUST264,Saturday,1,2023,2023-01-28,Male,47,45 - 54,Clothing,3,300,900
264,265,CUST265,Monday,12,2023,2023-12-11,Male,55,54 - 65,Clothing,3,300,900
265,266,CUST266,Friday,12,2023,2023-12-01,Female,19,18 - 24,Electronics,2,30,60
266,267,CUST267,Monday,11,2023,2023-11-27,Female,32,25 - 34,Beauty,3,30,90
267,268,CUST268,Monday,2,2023,2023-02-20,Female,28,25 - 34,Electronics,1,30,30
268,269,CUST269,Wednesday,2,2023,2023-02-01,Male,25,25 - 34,Clothing,4,500,2000
269,270,CUST270,Wednesday,7,2023,2023-07-26,Male,43,35 - 44,Electronics,1,300,300
270,271,CUST271,Friday,6,2023,2023-06-23,Female,62,54 - 65,Beauty,4,30,120
271,272,CUST272,Saturday,2,2023,2023-02-25,Female,61,54 - 65,Electronics,2,50,100
272,273,CUST273,Monday,5,2023,2023-05-08,Female,22,18 - 24,Beauty,1,50,50
273,274,CUST274,Sunday,4,2023,2023-04-09,Female,23,18 - 24,Clothing,2,500,1000
274,275,CUST275,Saturday,4,2023,2023-04-08,Male,43,35 - 44,Clothing,2,500,1000
275,276,CUST276,Monday,10,2023,2023-10-02,Female,21,18 - 24,Beauty,4,25,100
276,277,CUST277,Friday,8,2023,2023-08-18,Male,36,35 - 44,Clothing,4,25,100
277,278,CUST278,Monday,3,2023,2023-03-13,Female,37,35 - 44,Clothing,4,25,100
278,279,CUST279,Saturday,8,2023,2023-08-05,Male,50,45 - 54,Clothing,1,500,500
279,280,CUST280,Tuesday,4,2023,2023-04-04,Female,37,35 - 44,Clothing,3,500,1500
280,281,CUST281,Tuesday,5,2023,2023-05-23,Female,29,25 - 34,Beauty,4,500,2000
281,282,CUST282,Friday,8,2023,2023-08-25,Female,64,54 - 65,Electronics,4,50,200
282,283,CUST283,Monday,5,2023,2023-05-08,Female,18,18 - 24,Electronics,1,500,500
283,284,CUST284,Wednesday,2,2023,2023-02-08,Male,43,35 - 44,Clothing,4,50,200
284,285,CUST285,Tuesday,8,2023,2023-08-15,Female,31,25 - 34,Electronics,1,25,25
285,286,CUST286,Monday,10,2023,2023-10-09,Male,55,54 - 65,Electronics,2,25,50
286,287,CUST287,Monday,2,2023,2023-02-20,Male,54,54 - 65,Clothing,4,25,100
287,288,CUST288,Thursday,1,2023,2023-01-26,Male,28,25 - 34,Clothing,4,30,120
